species	Zymo_6300_I	Zymo_6300_MN	Zymo_6300_Q	Zymo_6300_Z	V1_V9_ONT__minitax_all_NCBI_genomes_RandAln_I1_D6300	V1_V9_ONT__minitax_all_NCBI_genomes_RandAln_I2_D6300	V1_V9_ONT__minitax_all_NCBI_genomes_RandAln_I3_D6300	V1_V9_ONT__minitax_all_NCBI_genomes_RandAln_MN1_D6300	V1_V9_ONT__minitax_all_NCBI_genomes_RandAln_MN3_D6300	V1_V9_ONT__minitax_all_NCBI_genomes_RandAln_Q1_D6300	V1_V9_ONT__minitax_all_NCBI_genomes_RandAln_Q2_D6300	V1_V9_ONT__minitax_all_NCBI_genomes_RandAln_Q3_D6300	V1_V9_ONT__minitax_all_NCBI_genomes_RandAln_Z1_D6300	V1_V9_ONT__minitax_all_NCBI_genomes_RandAln_Z2_D6300	V1_V9_ONT__minitax_all_NCBI_genomes_RandAln_Z3_D6300	V1_V9_ONT__minitax_all_NCBI_genomes_RandAln_I4_D6300	V1_V9_ONT__minitax_all_NCBI_genomes_RandAln_I5_D6300	V1_V9_ONT__minitax_all_NCBI_genomes_RandAln_MN4_D6300	V1_V9_ONT__minitax_all_NCBI_genomes_RandAln_MN5_D6300	V1_V9_ONT__minitax_all_NCBI_genomes_RandAln_Q4_D6300	V1_V9_ONT__minitax_all_NCBI_genomes_RandAln_Q5_D6300	V1_V9_ONT__minitax_all_NCBI_genomes_RandAln_Z4_D6300	V1_V9_ONT__minitax_all_NCBI_genomes_RandAln_Z5_D6300	I_V1_V2_Illumina_minitax_all_NCBI_genomes_RandAln_1_D6300	I_V1_V2_Illumina_minitax_all_NCBI_genomes_RandAln_2_D6300	I_V1_V2_Illumina_minitax_all_NCBI_genomes_RandAln_3_D6300	MN_V1_V2_Illumina_minitax_all_NCBI_genomes_RandAln_1_D6300	MN_V1_V2_Illumina_minitax_all_NCBI_genomes_RandAln_3_D6300	MN_V1_V2_Illumina_minitax_all_NCBI_genomes_RandAln_4_D6300	Q_V1_V2_Illumina_minitax_all_NCBI_genomes_RandAln_1_D6300	Q_V1_V2_Illumina_minitax_all_NCBI_genomes_RandAln_2_D6300	Q_V1_V2_Illumina_minitax_all_NCBI_genomes_RandAln_4_D6300	Z_V1_V2_Illumina_minitax_all_NCBI_genomes_RandAln_1_D6300	Z_V1_V2_Illumina_minitax_all_NCBI_genomes_RandAln_2_D6300	Z_V1_V2_Illumina_minitax_all_NCBI_genomes_RandAln_4_D6300
Pluralibacter gergoviae	0	0	0	0	0	0	0	0	2	3	1	0	2	0	3	0	0	0	0	0	0	0	0	6	6	6	30	22	16	51	20	21	31	18	16
Pragia fontium	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	3	2	0	3	2	1	0	0
Prevotella corporis	0	0	0	0	3	10	6	3	2	1	4	6	7	3	5	2	0	3	0	0	2	1	1	1	0	0	0	1	0	0	1	0	0	0	0
Priestia aryabhattai	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8	5	2	1	0	3	0	2	0	1	0	1
Prochlorothrix hollandica	0	0	0	0	180	175	177	629	533	853	495	536	463	349	495	42	40	93	120	114	92	76	104	0	0	0	0	1	1	0	0	0	0	0	1
Pseudescherichia vulneris	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	4	3	8	7	2	7	7	12	7	2	4
Pseudocitrobacter faecalis	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	1	5	0	5	1	2	2	1	2
Pseudomonas aeruginosa	420000	420000	420000	420000	816	777	762	7067	2954	2870	2453	3298	1179	993	2024	184	155	794	1466	648	394	460	430	457	1825	958	4140	1931	5595	1474	7225	1341	680	452	4626
Pseudomonas agarici	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	1	1	0	3	1	2	0	0	3	0	0	3
Pseudomonas alcaligenes	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	5	1	4	0	2	0	1	1	6
Pseudomonas argentinensis	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	1	1	6	0	1	1	0	0	3
Pseudomonas furukawaii	0	0	0	0	1	0	0	10	4	4	4	4	2	0	3	0	0	0	0	0	0	0	1	1	4	0	1	0	0	0	1	0	0	0	2
Pseudomonas graminis	0	0	0	0	1	2	4	2	4	4	4	1	2	5	5	1	2	1	0	0	3	1	0	1	1	0	0	0	0	1	0	0	1	0	3
Pseudomonas indoloxydans	0	0	0	0	0	0	0	18	6	4	1	0	7	0	0	0	0	1	3	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Pseudomonas koreensis	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	7	0	5	1	3	0	0	0	2
Pseudomonas kribbensis	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	16	35	23	121	54	148	31	157	31	21	9	115
Pseudomonas moraviensis	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	5	11	6	30	11	33	8	38	7	2	3	33
Pseudomonas nitroreducens	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	8	5	27	11	22	10	27	9	4	2	27
Pseudomonas oleovorans	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	3	0	2	0	4	1	1	0	7
Pseudomonas otitidis	0	0	0	0	0	0	0	11	0	1	0	0	2	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Pseudomonas panipatensis	0	0	0	0	0	0	0	11	1	3	0	0	1	0	0	0	0	0	0	0	1	0	0	1	9	4	17	7	11	4	14	5	5	0	10
Pseudomonas pharmacofabricae	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	2	0	1	3	0	0	0	1
Pseudomonas phragmitis	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11	23	20	65	26	89	17	106	20	17	7	63
Pseudomonas resinovorans	0	0	0	0	0	0	0	1	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	5	1	5	2	9	2	7	3	2	1	4
Pseudomonas sp. 21	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9	4	23	6	20	8	28	9	7	5	20
Pseudomonas sp. 2822-17	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	2	1	0	4	2	1	2	0	2	1	2
Pseudomonas sp. AAC	0	0	0	0	0	0	0	19	2	1	2	1	7	0	0	0	0	0	2	0	0	0	1	0	0	1	5	2	3	0	4	1	0	0	1
Pseudomonas sp. ADP	0	0	0	0	0	0	0	0	0	2	1	1	2	0	0	1	0	0	2	1	0	0	0	0	3	0	2	0	4	1	3	1	0	0	4
Pseudomonas sp. DR 5-09	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	11	3	20	10	29	7	61	9	2	1	28
Pseudomonas sp. EGD-AK9	0	0	0	0	664	728	795	810	1172	1201	577	924	1107	858	1343	162	149	316	162	211	253	277	252	15	30	19	27	27	42	31	39	13	33	13	36
Pseudomonas sp. ENNP23	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	2	0	4	1	3	1	0	1	2
Pseudomonas sp. FeS53a	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	2	6	6	12	6	21	9	27	5	3	2	25
Pseudomonas sp. GM84	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	2	0	2	0	2	0	3	2	1	1	5
Pseudomonas sp. HMSC057H01	0	0	0	0	4	1	2	15	7	10	4	9	2	3	4	0	0	0	3	2	0	1	1	10	47	27	120	58	141	38	202	33	21	12	108
Pseudomonas sp. HMSC058C05	0	0	0	0	16	18	17	181	70	70	51	97	32	22	48	2	1	21	47	14	8	9	11	13	43	24	150	69	159	47	184	36	18	10	133
Pseudomonas sp. HMSC060F12	0	0	0	0	0	0	0	4	1	1	0	1	0	0	2	0	0	0	1	0	0	0	0	11	50	15	138	59	168	40	219	37	16	12	118
Pseudomonas sp. HMSC063H08	0	0	0	0	2	2	3	3	5	2	2	7	3	1	0	0	0	2	1	0	1	1	0	20	61	33	123	66	146	38	197	38	22	13	157
Pseudomonas sp. HMSC065H01	0	0	0	0	1	0	0	1	0	3	1	0	0	0	0	0	0	1	0	0	0	0	0	12	60	35	110	54	167	45	218	50	16	10	172
Pseudomonas sp. HMSC065H02	0	0	0	0	4	1	1	19	4	6	4	4	0	1	0	0	1	3	5	1	0	1	1	20	72	27	151	49	169	50	247	54	28	19	167
Pseudomonas sp. HMSC066A08	0	0	0	0	0	0	0	5	0	3	0	1	9	2	1	0	0	0	0	2	1	0	1	17	54	27	132	62	184	70	227	46	19	11	157
Pseudomonas sp. HMSC067G02	0	0	0	0	11	6	7	77	34	17	29	38	20	9	33	1	3	4	17	6	6	8	2	17	56	33	114	56	153	38	257	26	18	10	106
Pseudomonas sp. HMSC072F09	0	0	0	0	0	4	5	46	15	11	18	26	4	6	19	3	1	4	4	5	1	2	1	14	51	25	115	60	156	35	216	34	28	21	128
Pseudomonas sp. HMSC076A11	0	0	0	0	3	7	3	38	14	17	15	13	4	4	3	1	0	5	17	2	4	2	1	14	69	25	152	59	220	49	258	40	20	16	156
Pseudomonas sp. HMSC16B01	0	0	0	0	44	36	38	283	132	136	92	170	46	72	95	9	13	29	50	40	14	23	32	4	22	17	63	18	66	21	100	22	12	9	75
Pseudomonas sp. HPB0071	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	1	4	2	4	0	3	1	1	0	1
Pseudomonas sp. M1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	5	29	21	45	27	70	21	96	21	9	3	52
Pseudomonas sp. MYb185	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	4	3	2	3	4	0	0	0	3
Pseudomonas sp. P179	0	0	0	0	25	31	35	303	118	128	100	138	52	33	86	4	7	28	58	29	10	29	13	82	302	155	733	310	984	238	1188	227	106	88	800
Pseudomonas sp. PA1(2017)	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	2	0	11	2	13	4	8	1	1	2	13
Pseudomonas sp. PGPPP4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	2	3	0	1	2	1	0	0	1
Pseudomonas sp. RIT288	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	15	2	26	18	21	6	34	4	0	3	27
Pseudomonas sp. T	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	5	3	13	4	11	8	14	3	0	2	25
Pseudomonas sp. WN033	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	3	1	1	1	2	1	0	0	2
Pseudomonas sp. Z003-0.4C(8344-21)	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	12	44	24	106	37	128	23	158	38	15	7	123
Pseudomonas xanthomarina	0	0	0	0	2	6	4	5	6	4	0	9	4	4	5	2	3	2	1	2	4	0	2	0	0	0	1	0	1	0	2	0	0	0	1
Psychrobacillus sp. OK032	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	5	2	0	8	7	3	5	6	3	3	2	10
Psychromonas sp. B3M02	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	2	0	4	4	3	1	2	1	2	3	3
Psychromonas sp. Urea-02u-13	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	2	0	19	2	2	4	3	5	6	0	3
Quasibacillus thermotolerans	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	7	2	1	3	4	7	6	8	2	3	3	5
Raoultella planticola	0	0	0	0	1	1	0	1	2	1	1	0	1	1	2	0	0	0	0	0	1	0	0	0	0	0	0	1	1	6	2	3	3	3	3
Rhodococcus sp. 14-2483-1-2	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	13	8	6	4	9	14	9	10	3	7	4	15
Rhodospirillales bacterium URHD0017	0	0	0	0	1	1	2	2	0	0	0	1	0	0	2	0	2	1	1	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
Roseomonas rhizosphaerae	0	0	0	0	0	0	0	4	2	3	2	2	0	0	1	0	0	0	0	0	0	3	0	16	62	28	112	66	177	44	242	44	19	13	174
Rossellomorea aquimaris	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	9	2	6	4	7	1	15	1	8	1	10
Rossellomorea vietnamensis	0	0	0	0	0	0	0	1	3	0	0	0	7	0	0	0	0	0	0	0	0	1	0	2	8	2	7	8	9	10	11	3	5	8	11
Saccharobesus litoralis	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	14	2	17	25	15	20	15	15	12	14	13
Salinivibrio sp. DV	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	2	2	1	2	0	1	1	1	0	1
Salipaludibacillus keqinensis	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	39	18	12	9	15	7	0	3	0	2	2	3
Salisediminibacterium selenitireducens	0	0	0	0	0	1	4	2	0	0	2	2	1	1	3	0	0	0	0	0	0	0	0	4	1	2	7	4	2	3	6	1	4	4	8
Salmonella bongori	0	0	0	0	3	3	1	8	2	12	3	7	7	5	6	1	1	2	5	2	1	0	1	497	437	245	1598	1359	1067	1333	1197	935	982	658	1050
Salmonella enterica	1040000	1040000	1040000	1040000	7927	8834	9268	28522	24488	30909	21649	28628	20044	16844	23537	1920	1677	5193	6444	5500	5286	5299	5373	5593	5392	3322	19201	18497	15884	18704	16134	12730	13723	9578	14104
Salmonella sp. HMSC13B08	0	0	0	0	0	0	0	4	2	4	0	1	14	0	2	1	0	0	1	0	3	0	0	15	22	14	83	69	35	75	58	41	52	31	64
Segniliparus rotundus	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	6	2	5	4	2	4	9	0	4	2	3
Serratia nematodiphila	0	0	0	0	0	0	0	1	1	1	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	2	1	1	3	1	1	0	1	0
Serratia odorifera	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	16	12	40	58	25	73	35	45	37	22	52
Serratia plymuthica	0	0	0	0	0	0	0	1	0	1	1	0	1	0	0	1	0	1	0	1	0	0	1	2	0	0	5	1	3	2	1	0	0	0	0
Serratia sp. 2880STDY5682895	0	0	0	0	0	0	0	7	4	1	0	0	4	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	1	0	0	0	0	0	0
Serratia sp. TEL	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	2	4	1	3	6	2	7	6	2	5
Serratia symbiotica	0	0	0	0	0	1	1	3	2	0	0	1	8	0	2	0	0	1	0	0	0	1	0	18	19	17	60	50	40	50	47	38	39	22	46
Shigella boydii	0	0	0	0	1053	1298	1293	3773	3348	4330	3034	4000	2637	2352	3378	251	224	716	974	704	714	711	781	487	513	332	1917	1885	1507	2052	1475	1331	1422	907	1433
Shigella dysenteriae	0	0	0	0	105	125	97	419	338	364	373	383	336	225	331	28	24	71	102	94	56	56	73	1938	1999	1187	7707	7341	5815	7559	6237	5004	5403	3726	5583
Shigella flexneri	0	0	0	0	1300	1378	1417	5211	4060	4822	3409	4553	3509	2781	3771	300	263	798	1067	943	834	823	891	612	538	296	2281	2036	1624	1902	1752	1278	1436	900	1462
Shigella genomosp. SF-2015	0	0	0	0	1476	1626	1756	5863	4913	6132	4236	5575	4132	3314	4706	374	339	1009	1307	1183	1021	1074	1100	660	427	259	1958	1809	1371	1602	1630	1148	1205	864	1274
Shigella sonnei	0	0	0	0	147	188	176	783	564	706	477	599	592	346	545	47	26	126	172	130	139	118	129	293	237	133	885	833	753	664	746	556	567	375	566
Shigella sp. FC1056	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	91	83	59	305	294	245	301	248	181	235	152	219
Shigella sp. FC1139	0	0	0	0	1	1	2	5	3	7	3	3	1	3	4	0	0	1	0	1	0	0	1	7	10	10	41	44	25	36	28	29	25	12	33
Shigella sp. FC1172	0	0	0	0	9	7	9	22	32	27	22	29	23	8	25	1	0	2	12	5	3	1	9	14	7	9	41	32	33	41	29	26	27	19	29
Shigella sp. FC1180	0	0	0	0	0	0	1	3	2	3	2	1	0	2	4	0	0	1	1	0	2	1	0	9	5	5	39	32	28	57	33	23	17	17	27
Shigella sp. FC1544	0	0	0	0	1	0	0	1	1	1	0	1	0	0	0	0	0	0	1	1	0	0	0	83	102	61	348	343	291	302	289	226	234	178	261
Shigella sp. FC1567	0	0	0	0	0	0	0	1	0	2	0	2	1	0	0	0	0	0	0	0	0	1	0	16	15	10	53	46	32	54	52	44	34	26	51
Shigella sp. FC1661	0	0	0	0	1	3	1	6	6	6	3	4	5	3	10	1	0	2	2	1	3	2	3	20	23	11	85	91	82	93	75	72	78	35	72
Shigella sp. FC1708	0	0	0	0	11	15	12	49	59	50	38	55	39	42	43	3	1	13	18	15	12	8	14	132	107	52	463	357	270	302	332	246	236	174	248
Shigella sp. FC1737	0	0	0	0	3	1	3	8	0	8	3	3	1	2	8	0	0	2	2	0	0	1	1	117	82	55	390	355	279	334	320	227	248	134	293
Shigella sp. FC1764	0	0	0	0	24	17	30	73	74	62	53	84	59	41	68	4	6	10	22	15	15	15	19	27	26	21	103	86	91	91	76	56	62	52	74
Shigella sp. FC1882	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	30	19	11	105	98	70	100	72	72	73	49	94
Shigella sp. FC2045	0	0	0	0	0	0	0	1	0	0	2	1	3	0	2	0	0	0	0	0	0	0	0	138	93	75	418	360	307	382	338	248	312	207	289
Shigella sp. FC2117	0	0	0	0	2	4	1	46	15	13	5	4	63	3	10	6	0	2	4	6	4	3	2	19	11	10	63	54	31	58	50	43	50	23	45
Shigella sp. FC2125	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	18	24	10	54	47	48	63	50	32	46	25	58
Shigella sp. FC2175	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	25	14	8	64	46	44	67	46	30	38	31	53
Shigella sp. FC2383	0	0	0	0	0	7	6	13	11	17	13	5	7	4	6	1	1	3	5	2	1	4	4	120	85	64	395	379	327	369	309	218	282	160	260
Shigella sp. FC2531	0	0	0	0	0	1	2	4	0	1	3	2	1	0	2	0	0	0	1	1	0	1	1	128	85	53	418	323	296	347	339	217	249	173	260
Shigella sp. FC2541	0	0	0	0	0	1	0	1	1	2	0	3	0	0	0	0	0	0	0	0	0	1	0	143	102	48	373	330	266	333	307	235	269	160	240
Shigella sp. FC2710	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	18	22	17	59	63	31	48	47	37	34	37	49
Shigella sp. FC2833	0	0	0	0	0	2	1	0	0	0	1	1	0	0	1	0	0	0	0	0	0	1	1	21	25	9	85	92	71	86	75	64	59	40	46
Shigella sp. FC2928	0	0	0	0	0	1	0	9	7	4	2	5	8	4	4	0	0	2	1	1	0	1	1	162	105	69	436	400	338	387	357	245	276	193	262
Shigella sp. FC3196	0	0	0	0	0	0	0	1	0	1	0	1	0	0	0	0	0	0	1	0	0	0	0	117	94	52	384	338	266	303	297	216	221	166	254
Shigella sp. FC569	0	0	0	0	7	10	7	45	41	36	26	31	36	25	28	3	1	7	12	7	6	9	7	25	36	15	96	121	78	119	93	67	86	41	86
Shimwellia blattae	0	0	0	0	0	2	0	1	0	0	0	0	2	1	0	0	0	0	0	0	0	0	0	1	1	1	15	9	7	14	5	7	7	4	7
Siccibacter turicensis	0	0	0	0	1	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	5	4	0	16	13	5	9	5	6	8	6	5
Snowella sp.	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9	1	1	3	0	3	0	3	1	1	1	3
Sodalis glossinidius	0	0	0	0	0	1	0	1	2	2	2	2	2	1	1	0	0	0	1	0	0	1	0	2	0	1	1	0	0	1	0	0	1	0	0
Sodalis praecaptivus	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	35	7	2	29	17	17	9	21	8	12	4	6
Solibacillus silvestris	0	0	0	0	0	0	0	0	1	0	0	0	4	0	0	2	1	0	0	0	0	0	1	8	12	7	8	4	15	3	7	1	8	4	16
Sphingomonas sanguinis	0	0	0	0	0	0	0	1	1	0	1	0	1	0	0	0	0	0	0	0	0	0	0	13	9	5	41	30	35	30	24	16	22	19	23
Sporosarcina globispora	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	3	18	0	3	2	7	3	6	0	10	0	0
Sporosarcina sp. P1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	2	2	2	0	1	0	2	1	2
Sporosarcina sp. P10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	2	2	3	8	1	6	6	2	5	3	5
Sporosarcina sp. P12(2017)	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	2	1	0	1	4	4	1	1	5	1	4
Sporosarcina sp. P16a	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	2	1	1	0	0	0	0	0	2	0	3
Sporosarcina sp. P16b	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	1	1	1	0	2	0	2	0	2
Sporosarcina sp. P17b	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	2	1	1	0	3	0	3	0	2
Sporosarcina sp. P18a	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	1	1	3	0	0	1	0	0	2	0	0
Sporosarcina sp. P19	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	3	2	3	1	0	0	0	1
Sporosarcina sp. P20a	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	2	1	1	4	1	2	0	0	0	0
Sporosarcina sp. P21c	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	1	1	1	1	1	1	2	0	1	0	2
Sporosarcina sp. P25	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	3	1	2	1	2	3	0	1	4	2	1
Sporosarcina sp. P29	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	1	0	0	0	1	1	1	0	0	3	3	1	0	1	0	0
Sporosarcina sp. P3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11	29	23	30	42	48	44	50	19	38	20	49
Sporosarcina sp. P30	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	27	31	26	112	121	65	123	77	71	91	58	85
Sporosarcina sp. P34	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	2	1	1	0	2	2	1	1
Sporosarcina sp. P7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	1	0	0	2	0	2	0	1	1	2
Staphylococcus argenteus	0	0	0	0	2201	2344	2350	786	1114	114	107	64	354	318	190	558	543	140	79	20	23	40	40	1497	1626	1276	595	831	464	61	170	43	236	205	161
Staphylococcus aureus	1550000	1550000	1550000	1550000	8712	9264	9388	3097	4363	428	205	309	1291	1311	812	2211	2017	670	306	75	56	149	144	7877	8602	6530	2951	4175	2514	310	876	177	1297	956	818
Staphylococcus capitis	0	0	0	0	2	4	3	1	2	0	0	0	2	1	0	1	0	0	0	0	0	0	0	15	16	7	7	4	1	0	0	0	0	3	1
Staphylococcus caprae	0	0	0	0	2	0	2	2	1	0	0	0	7	0	0	2	0	0	0	0	0	0	0	28	11	1	8	7	3	0	5	0	2	1	0
Staphylococcus cohnii	0	0	0	0	0	1	0	1	2	0	1	0	0	0	0	2	0	0	0	0	0	0	0	2	0	0	1	0	0	0	0	0	1	0	0
Staphylococcus condimenti	0	0	0	0	0	0	0	4	0	0	0	0	1	0	0	4	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0
Staphylococcus delphini	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	1	0	0	0	1	4	5	3	1	0	0	0	1	0	1	0
Staphylococcus devriesei	0	0	0	0	1	2	0	2	1	0	0	0	1	1	0	1	0	0	0	0	0	1	0	6	4	1	3	0	1	0	2	0	4	0	1
Staphylococcus epidermidis	0	0	0	0	4	3	2	1	1	0	0	0	1	0	0	1	0	0	0	0	0	0	0	57	23	12	10	17	8	2	3	0	5	4	4
Staphylococcus felis	0	0	0	0	0	0	0	1	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	27	4	7	7	4	3	1	0	0	2	1	1
Staphylococcus hominis	0	0	0	0	2	2	2	8	3	0	0	0	9	0	0	4	0	0	0	0	1	0	0	3	1	2	0	0	0	0	0	0	0	0	0
Staphylococcus hyicus	0	0	0	0	0	0	1	1	2	1	0	0	1	1	1	1	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	1	0	1	0
Staphylococcus lugdunensis	0	0	0	0	40	61	60	20	18	2	1	0	9	6	5	16	11	4	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0
Staphylococcus massiliensis	0	0	0	0	2	1	5	0	1	0	0	0	2	0	2	1	0	0	0	0	0	0	0	1	0	0	1	1	1	0	0	0	0	0	0
Staphylococcus nepalensis	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	3	1	1	2	1	1	1	2	1	1	0	0
Staphylococcus petrasii	0	0	0	0	4	6	3	10	4	0	1	2	16	2	1	6	4	0	1	0	0	0	0	9	17	14	5	8	5	1	1	0	5	2	1
Staphylococcus pettenkoferi	0	0	0	0	1	0	0	1	0	0	0	0	2	0	0	0	1	0	0	0	1	0	0	17	0	1	4	2	2	0	3	1	0	0	0
Staphylococcus schweitzeri	0	0	0	0	4623	5017	5226	1776	2407	220	104	170	772	717	437	1263	1099	367	183	36	52	81	86	1316	1385	1119	490	726	453	72	140	29	226	193	136
Staphylococcus simiae	0	0	0	0	634	700	712	314	371	37	14	23	276	89	63	236	136	55	11	8	9	10	2	186	220	192	75	93	44	8	18	4	25	26	24
Staphylococcus simulans	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	4	5	2	4	1	0	1	0	1	1	0
